market,league_code,season,close_odds_band,asian_handicap_line_bucket,over25_price_band,home_away_side,sample_size_bucket,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
1X2,B1,2024/25,GE_5_00,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,22,22,4,0.181818,6.022727,0.193182,7,-8.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,GE_5_00,NOT_AH,NOT_FT_OVER25,HOME,LT_100,17,17,3,0.176471,5.529412,-0.073529,9,-9.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,LT_1_50,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,6,6,4,0.666667,1.413333,-0.045,2,-2.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2024/25,LT_1_50,NOT_AH,NOT_FT_OVER25,HOME,LT_100,43,43,32,0.744186,1.35907,0.008372,2,-4.54,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,1_50_1_74,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,21,21,14,0.666667,1.595238,0.058095,2,-3.6,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,1_50_1_74,NOT_AH,NOT_FT_OVER25,HOME,LT_100,39,39,26,0.666667,1.605128,0.060256,2,-3.37,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,1_75_1_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,24,24,14,0.583333,1.832917,0.062917,2,-3.8,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,1_75_1_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,32,32,13,0.40625,1.8575,-0.249062,5,-7.97,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,2_00_2_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,49,49,14,0.285714,2.224286,-0.364286,10,-20.65,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,D1,2020/21,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,58,58,23,0.396552,2.223276,-0.133276,8,-17.48,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
